recall_id,title,organization,product_name,issue,category,updated_at,data_received_at,issue_category
77615,Transport Canada Recall - 2025275 - MAZDA,TC,Car recalled by MAZDA,Lights And Instruments,,2025-06-16,2025-06-20 15:13:01.237253,Car
77618,Transport Canada Recall - 2025309 - KEYSTONE,TC,RV Trailer recalled by KEYSTONE,Accessories,,2025-06-16,2025-06-20 15:13:01.237253,RV Trailer
77617,Transport Canada Recall - 2025307 - GENIE INDUSTRIES,TC,Equipment recalled by GENIE INDUSTRIES,Structure,,2025-06-16,2025-06-20 15:13:01.237253,Equipment
77616,Transport Canada Recall - 2025306 - FORD,TC,SUV recalled by FORD,Engine,,2025-06-16,2025-06-20 15:13:01.237253,SUV
75660,Unauthorized sexual enhancement products may pose serious health risks,Communications and Public Affairs Branch,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,,2025-06-16,2025-06-20 15:13:01.237253,Drugs
77614,Transport Canada Recall - 2024761 - HONDA,TC,SUV recalled by HONDA,Visual System,Minivan,2025-06-16,2025-06-20 15:13:01.237253,SUV
77610,Kimmtrak Solution; Out of specification (in-vitro potency assay),Drugs and health products,Kimmtrak Solution,Product quality,,2025-06-16,2025-06-20 15:13:01.237253,Biologic or vaccine
77589,Rust-Oleum Varathane One Step Stain & Polyurethane (Dark Walnut) recalled due to improper labelling ,Consumer product safety,Rust-Oleum Varathane One Step Stain & Polyurethane (Dark Walnut),Labelling and packaging,,2025-06-16,2025-06-20 15:13:01.237253,Chemicals
77607,Oracare Baby Brush toothbrush recalled from Dollarama due to a potential choking hazard,Communications and Public Affairs Branch,Oracare Baby Brush toothbrush,Product safety - Product quality,,2025-06-13,2025-06-20 15:13:01.237253,Medical devices
77619,Braised abalone in brown sauce recalled due to undeclared egg,CFIA,Braised abalone in brown sauce,Egg,,2025-06-13,2025-06-20 15:13:01.237253,Fish and seafood
77590,göt2b glued Blasting Freeze Spray recalled due to missing mandatory hazard labelling,Consumer product safety,göt2b glued Blasting Freeze Spray,Flammability hazard - Labelling and packaging,,2025-06-13,2025-06-20 15:13:01.237253,Beauty and personal care
77604,Transport Canada Recall - 2025304 - NOVA BUS,TC,Bus recalled by NOVA BUS,Lights And Instruments,,2025-06-13,2025-06-20 15:13:01.237253,Bus
77544,Endless Pools Branded Manual Retractable Pool Covers recalled due to Entrapment and Drowning Hazards ,Consumer product safety,Manual Retractable Pool Covers,Entrapment hazard - Drowning hazard,,2025-06-12,2025-06-20 15:13:01.237253,Outdoor living
77573,Bugaboo Giraffe High Chair recalled due to fall hazard ,Consumer product safety,Bugaboo Giraffe High Chair,Fall hazard,,2025-06-12,2025-06-20 15:13:01.237253,Household items
77574,"RYOBI branded cordless 24"" hedge trimmer recalled due to potential laceration hazard",Consumer product safety,RYOBI branded 40V cordless 24” hedge trimmer,Laceration hazard,,2025-06-12,2025-06-20 15:13:01.237253,Tools and accessories
77585,Yamaha Corporation PA-300C AC Power Adaptors recalled due to burn and fire hazards ,Consumer product safety,Yamaha Corporation PA-300C AC Power Adaptors ,Burn hazard - Fire hazard,,2025-06-12,2025-06-20 15:13:01.237253,Electronics
77586,Heyman Follower,Medical devices,Heyman Follower,Labelling and packaging,,2025-06-12,2025-06-20 15:13:01.237253,Gastroenterology and urology
77587,Azurion 7 Systems,Medical devices,Azurion 7 Systems,Performance,,2025-06-12,2025-06-20 15:13:01.237253,Radiology
77596,Transport Canada Recall - 2025295 - TAIGA MOTORS INC.,TC,Snowmobile recalled by TAIGA MOTORS INC.,Brakes,,2025-06-11,2025-06-20 15:13:01.237253,Snowmobile
77605,Transport Canada Recall - 2025305 - RIVIAN,TC,Light Truck & Van recalled by RIVIAN,Seats And Restraints,SUV,2025-06-11,2025-06-20 15:13:01.237253,Light Truck & Van
77603,Transport Canada Recall - 2025303 - KAWASAKI,TC,Motorcycle recalled by KAWASAKI,Electrical,,2025-06-11,2025-06-20 15:13:01.237253,Motorcycle
77602,Transport Canada Recall - 2025302 - FOREST RIVER,TC,RV Trailer recalled by FOREST RIVER,Structure,,2025-06-11,2025-06-20 15:13:01.237253,RV Trailer
77601,Transport Canada Recall - 2025300 - TRIPLE E,TC,Motorhome recalled by TRIPLE E,Electrical,,2025-06-11,2025-06-20 15:13:01.237253,Motorhome
77600,Transport Canada Recall - 2025299 - TEXTRON SPECIALIZED VEHICLES,TC,Restricted-Use Vehicle recalled by TEXTRON SPECIALIZED VEHICLES,Fuel System,,2025-06-11,2025-06-20 15:13:01.237253,Restricted-Use Vehicle
77599,Transport Canada Recall - 2025298 - MERCEDES-BENZ,TC,Car recalled by MERCEDES-BENZ,Other,SUV,2025-06-11,2025-06-20 15:13:01.237253,Car
77598,Transport Canada Recall - 2025297 - DEMERS,TC,Light Truck & Van recalled by DEMERS,Structure,,2025-06-11,2025-06-20 15:13:01.237253,Light Truck & Van
77597,Transport Canada Recall - 2025296 - HONDA,TC,Motorcycle recalled by HONDA,Engine,,2025-06-11,2025-06-20 15:13:01.237253,Motorcycle
77593,Transport Canada Recall - 2025291 - FIAT CHRYSLER AUTOMOBILES,TC,Minivan recalled by FIAT CHRYSLER AUTOMOBILES,Airbag,,2025-06-11,2025-06-20 15:13:01.237253,Minivan
77595,Transport Canada Recall - 2025294 - MAZDA,TC,SUV recalled by MAZDA,Airbag,Car,2025-06-11,2025-06-20 15:13:01.237253,SUV
77277,DeckWise® Deck & Wood Cleaner recalled due to improper labelling and lack of child-resistant packaging,Consumer product safety,DeckWise® Deck & Wood Cleaner,Labelling and packaging,,2025-06-11,2025-06-20 15:13:01.237253,Chemicals
77592,Transport Canada Recall - 2025290 - FOREST RIVER,TC,School Bus recalled by FOREST RIVER,Structure,,2025-06-11,2025-06-20 15:13:01.237253,School Bus
77591,Transport Canada Recall - 2025288 - PACCAR,TC,Truck - Med. & H.D. recalled by PACCAR,Brakes,Med. & H.D.,2025-06-11,2025-06-20 15:13:01.237253,Truck
77584,BD FACS™ 7-Color Setup Beads,Medical devices,BD FACS™ 7-Color Setup Beads,Labelling and packaging,,2025-06-11,2025-06-20 15:13:01.237253,Haematology
77583,Hamilton-C6 Intensive Care Ventilator,Medical devices,Hamilton-C6 Intensive Care Ventilator,Performance,,2025-06-11,2025-06-20 15:13:01.237253,Anaesthesiology
77582,MicroMyst applicator and extended tip applicators,Medical devices,MicroMyst applicator and extended tip applicators,Sterility,,2025-06-11,2025-06-20 15:13:01.237253,General hospital and personal use
77576,IKEA 365+ VÄRDEFULL Garlic press recalled due to an ingestion hazard ,Consumer product safety,IKEA 365+ VÄRDEFULL Garlic press,Ingestion hazard,,2025-06-11,2025-06-20 15:13:01.237253,Household items
77594,Transport Canada Recall - 2025293 - GENERAL MOTORS,TC,SUV recalled by GENERAL MOTORS,Lights And Instruments,,2025-06-11,2025-06-20 15:13:01.237253,SUV
77578,Soframycin nasal spray; Out of specification (pH & benzalkonium chloride),Drugs and health products,Soframycin nasal spray,Product quality,,2025-06-10,2025-06-20 15:13:01.237253,Drugs
77580,Inceptiv,Medical devices,Inceptiv,Performance,,2025-06-10,2025-06-20 15:13:01.237253,Neurology
77579,"CombiStar, SafeStar and TwinStar Filters/ HMEs",Medical devices,"CombiStar, SafeStar and TwinStar Filters/ HMEs",Performance,,2025-06-10,2025-06-20 15:13:01.237253,Anaesthesiology
77138,4 Fr. Single Lumen PowerPICC Catheters,Medical devices,4 Fr. Single Lumen PowerPICC Catheters,Performance,,2025-06-10,2025-06-20 15:13:01.237253,Cardiovascular
77577,Jamp-Hydralazine tablet: Affected lot may contain Jamp-Hydralazine 10 mg tablets,Drugs and health products,Jamp-Hydralazine tablet,Product safety,,2025-06-10,2025-06-20 15:13:01.237253,Drugs
77572,Harriet Bee Wooden Height Adjustable Chair recalled due to due to entrapment and fall hazards,Consumer product safety,Harriet Bee Wooden Height Adjustable Chair,Entrapment hazard - Fall hazard,,2025-06-10,2025-06-20 15:13:01.237253,Household items
77571,Rea brand Genoa Salami and Bona brand Genova Salami recalled due to Salmonella,CFIA,"Genoa Salami Sweet, Genoa Salami Hot, Mild Genova Salami",Salmonella,,2025-06-10,2025-06-20 15:13:01.237253,Processed
77568,Seasonique tablet; may be packaged with extra yellow tablets (ethinyl estradiol),Drugs and health products,Seasonique tablet,Packaging,,2025-06-06,2025-06-20 15:13:01.237253,Drugs
77609,C'est Prêt! brand and Circle K brand chicken sandwiches recalled due to pieces of bone,CFIA,Chicken sandwiches,Extraneous Material,,2025-06-06,2025-06-20 15:13:01.237253,Multiple food items
77581,"Binggrae brand Power Cap, Watermelon Flavored Ice Tube recalled due to undeclared milk",CFIA,"Power Cap, Watermelon Flavored Ice Tube",Milk,,2025-06-06,2025-06-20 15:13:01.237253,Other
77564,Rivasa 81 mg EC tablet; Out of specification (salicylic acid impurity),Drugs and health products,RIVASA 81mg EC tablet,Product quality,,2025-06-06,2025-06-20 15:13:01.237253,Drugs
77567,"Health Canada warns consumers not to inhale nitrous oxide, also known as laughing gas, recreationally",Communications and Public Affairs Branch,Various nitrous oxide products,Product safety - Unauthorized product,,2025-06-06,2025-06-20 15:13:01.237253,Drugs
77566,One lot of Seasonique birth control recalled due to possible extra yellow pills (ethinyl estradiol only),Communications and Public Affairs Branch,Seasonique (DIN 02346176),Product quality,,2025-06-06,2025-06-20 15:13:01.237253,Drugs
77565,"0.9% Sodium chloride injection, USP; Solution bags leaking",Drugs and health products,"0.9% Sodium chloride injection, USP",Packaging,,2025-06-06,2025-06-20 15:13:01.237253,Drugs
77548,Seasonale tablet: packaged with extra placebo tablets,Drugs and health products,Seasonale tablet,Packaging,,2025-06-05,2025-06-20 15:13:01.237253,Drugs
77570,Transport Canada Recall - 2025308 - JAYCO,TC,RV Trailer recalled by JAYCO,Structure,,2025-06-05,2025-06-20 15:13:01.237253,RV Trailer
77569,Transport Canada Recall - 2025301 - MITSUBISHI,TC,SUV recalled by MITSUBISHI,Visual System,,2025-06-05,2025-06-20 15:13:01.237253,SUV
77563,"VITROS® 4600, 5600 and 7600 Systems",Medical devices,"VITROS® 4600, 5600 and 7600 Systems",Performance,,2025-06-05,2025-06-20 15:13:01.237253,Chemistry
77562,SwabSleeve™ and SwabCap™,Medical devices,SwabSleeve™ and SwabCap™,Sterility,,2025-06-05,2025-06-20 15:13:01.237253,General hospital and personal use
77561,Alinity I Total PSA Reagent Kit,Medical devices,Alinity I Total PSA Reagent Kit,Performance,,2025-06-05,2025-06-20 15:13:01.237253,Immunology
77560,Bravo™ - Capsule Delivery Sys,Medical devices,Bravo™ - Capsule Delivery Sys,Performance,,2025-06-05,2025-06-20 15:13:01.237253,Gastroenterology and urology
77559,Oracare Baby Brush,Medical devices,Oracare Baby Brush,Performance,,2025-06-05,2025-06-20 15:13:01.237253,Dental
77558,Change Healthcare Cardiology Hemo/Hemodynamics™,Medical devices,Change Healthcare Cardiology Hemo/Hemodynamics™,Performance,,2025-06-05,2025-06-20 15:13:01.237253,Cardiovascular
77557,Transport Canada Recall - 2025287 - NOVA BUS,TC,Bus recalled by NOVA BUS,Lights And Instruments,,2025-06-05,2025-06-20 15:13:01.237253,Bus
77547,U and U+ window air conditioners recalled due to risk of mold exposure  ,Consumer product safety,U and U+ Window Air Conditioners,Microbial hazard,,2025-06-05,2025-06-20 15:13:01.237253,Appliances
77542,DR Power Equipment lithium-ion battery-powered chainsaws recalled due to fire and burn hazards ,Consumer product safety,DR Power Equipment lithium-ion battery-powered chainsaws,Fire hazard,,2025-06-05,2025-06-20 15:13:01.237253,Tools and accessories
77518,Bornibus brand Tehina recalled due to Salmonella,CFIA,Tehina,Salmonella,,2025-06-05,2025-06-20 15:13:01.237253,Other
64528,NTI TRX Series II Wall Hung Gas-fired Boiler recalled due to risk of fire and carbon monoxide poisoning,Consumer product safety,NTI TRX Series II Wall Hung Gas-fired Boiler,Poisoning hazard - Fire hazard,,2025-06-05,2025-06-20 15:13:01.237253,Appliances
77273,HTP ELU Elite Ultra Wall Hung Gas-fired Boiler recalled due to risk of fire and carbon monoxide poisoning,Consumer product safety,HTP ELU Elite Ultra Wall Hung Gas-fired Boiler,Poisoning hazard - Fire hazard,,2025-06-05,2025-06-20 15:13:01.237253,Appliances
77507,Rinnai i-Series Plus Boilers recalled due to poisoning hazard  ,Consumer product safety,Rinnai i-Series Plus Boilers,Poisoning hazard,,2025-06-05,2025-06-20 15:13:01.237253,Appliances
73720,Transport Canada Recall - 2023285 - MITSUBISHI,TC,SUV recalled by MITSUBISHI,Visual System,,2025-06-05,2025-06-20 15:13:01.237253,SUV
77530,Transport Canada Recall - 2025269 - DAIMLER TRUCK NORTH AMERICA,TC,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Electrical,Med. & H.D.,2025-06-05,2025-06-20 15:13:01.237253,Truck
77534,Lutron Power Interface for LED Tape Lights recalled due to potential shock hazard ,Consumer product safety,Lutron Power Interface for LED Tape Lights,Electrical hazard,,2025-06-05,2025-06-20 15:13:01.237253,Electronics
77537,Baseus Portable Chargers recalled due to fire hazard ,Consumer product safety,Baseus Portable Chargers ,Fire hazard,,2025-06-05,2025-06-20 15:13:01.237253,Electronics
77541,Vevor Cable Railing Kits recalled due to entrapment hazard ,Consumer product safety,Vevor Cable Railing Kits ,Entrapment hazard,,2025-06-05,2025-06-20 15:13:01.237253,Building materials and supplies
74545,Philips Achieva and Intera Systems,Medical devices,Philips Achieva and Intera Systems,Performance,,2025-06-04,2025-06-20 15:13:01.237253,Radiology
77538,Chill Pill Magnetic Haptic Fidget Toys Red Bumpy recalled due to potential ingestion hazard,Consumer product safety,Chill Pill Magnetic Haptic Fidget Toys Red Bumpy ,Ingestion hazard,,2025-06-04,2025-06-20 15:13:01.237253,Other
77545,"North Shore Fishery brand Frozen Breaded Shrimp Patties and Frozen Tempura Shrimp Roll recalled due to undeclared egg, soy and milk",CFIA,"Frozen Breaded Shrimp Patties, Frozen Tempura Shrimp Roll",Egg - Soy - Milk,,2025-06-04,2025-06-20 15:13:01.237253,Frozen
77549,Vantage Gastroscopes and Colonoscopes,Medical devices,Vantage Gastroscopes and Colonoscopes,Performance,General and plastic surgery,2025-06-04,2025-06-20 15:13:01.237253,Gastroenterology and urology
77550,Two lots of Seasonale birth control recalled due to extra placebo pills,Communications and Public Affairs Branch,Seasonale (0.15 mg levonorgestrel and 0.03 mg ethinyl estradiol) (DIN 02296659),Product quality,,2025-06-04,2025-06-20 15:13:01.237253,Drugs
77553,Transport Canada Recall - 2025280 - FORD,TC,SUV recalled by FORD,Lights And Instruments,,2025-06-03,2025-06-20 15:13:01.237253,SUV
77556,Transport Canada Recall - 2025284 - FORD,TC,Light Truck & Van recalled by FORD,Engine,,2025-06-03,2025-06-20 15:13:01.237253,Light Truck & Van
77555,Transport Canada Recall - 2025282 - FORD,TC,SUV recalled by FORD,Structure,,2025-06-03,2025-06-20 15:13:01.237253,SUV
77554,Transport Canada Recall - 2025281 - FORD,TC,Light Truck & Van recalled by FORD,Engine,SUV,2025-06-03,2025-06-20 15:13:01.237253,Light Truck & Van
77552,Transport Canada Recall - 2025279 - FORD,TC,Light Truck & Van recalled by FORD,Lights And Instruments,,2025-06-03,2025-06-20 15:13:01.237253,Light Truck & Van
77551,Transport Canada Recall - 2025276 - NLB CORPORATION,TC,Equipment recalled by NLB CORPORATION,Engine,,2025-06-03,2025-06-20 15:13:01.237253,Equipment
77540,Q-LINK 13 components and LikoScale™ Adapter Kits,Medical devices,Q-LINK 13 components and LikoScale™ Adapter Kits,Performance,,2025-06-03,2025-06-20 15:13:01.237253,General hospital and personal use
75774,Biofire Blood Culture Identification 2 (BCID2) Panel,Medical devices,Biofire Blood Culture Identification 2 (BCID2) Panel,Performance,,2025-06-03,2025-06-20 15:13:01.237253,Chemistry
72316,Transport Canada Recall - 2022668 - LAND ROVER,TC,SUV recalled by LAND ROVER,Suspension,,2025-06-02,2025-06-20 15:13:01.237253,SUV
77419,Transport Canada Recall - 2025227 - INTERNATIONAL MOTORS,TC,Truck - Med. & H.D. recalled by INTERNATIONAL MOTORS,Visual System,Med. & H.D.,2025-06-02,2025-06-20 15:13:01.237253,Truck
77511,Arooj Henna Cones recalled due to chemical hazard  ,Consumer product safety,Arooj Henna Cones,Chemical hazard,,2025-06-02,2025-06-20 15:13:01.237253,Beauty and personal care
77517,Jigs of Discovery branded rod and reel combo kits recalled due to excess presence of lead  ,Consumer product safety, Jigs of Discovery branded rod and reel combo kits,Chemical hazard,,2025-06-02,2025-06-20 15:13:01.237253,Outdoor living
77536,Sanis-Moxifloxacin solution; Sterility issue,Drugs and health products,Sanis-Moxifloxacin solution,Product quality,,2025-06-02,2025-06-20 15:13:01.237253,Drugs
77539,"Binggrae brand Power Cap, Watermelon Flavored Ice Tube recalled due to undeclared milk",CFIA,"Power Cap, Watermelon Flavored Ice Tube",Milk,,2025-06-02,2025-06-20 15:13:01.237253,Other
77546,Transport Canada Recall - 2025289 - LAND ROVER,TC,SUV recalled by LAND ROVER,Suspension,,2025-06-02,2025-06-20 15:13:01.237253,SUV
77528,Transport Canada Recall - 2025266 - BOMBARDIER RECREATIONAL PRODUCTS,TC,Snowmobile recalled by BOMBARDIER RECREATIONAL PRODUCTS,High Voltage,,2025-05-30,2025-06-20 15:13:01.237253,Snowmobile
77533,Transport Canada Recall - 2025292 - JAYCO,TC,RV Trailer recalled by JAYCO,Label,,2025-05-30,2025-06-20 15:13:01.237253,RV Trailer
77532,Transport Canada Recall - 2025272 - VOLKSWAGEN,TC,SUV recalled by VOLKSWAGEN,Visual System,,2025-05-30,2025-06-20 15:13:01.237253,SUV
77531,Transport Canada Recall - 2025270 - FOREST RIVER,TC,RV Trailer recalled by FOREST RIVER,Tires,,2025-05-30,2025-06-20 15:13:01.237253,RV Trailer
77529,Transport Canada Recall - 2025268 - MERCEDES-BENZ,TC,SUV recalled by MERCEDES-BENZ,Visual System,,2025-05-30,2025-06-20 15:13:01.237253,SUV
77527,Transport Canada Recall - 2025265 - ISUZU,TC,Truck - Med. & H.D. recalled by ISUZU,High Voltage,Med. & H.D.,2025-05-30,2025-06-20 15:13:01.237253,Truck
77526,Transport Canada Recall - 2025263 - TOYOTA,TC,Light Truck & Van recalled by TOYOTA,Lights And Instruments,,2025-05-30,2025-06-20 15:13:01.237253,Light Truck & Van
77525,Transport Canada Recall - 2025261 - MICHELIN,TC,Tire recalled by MICHELIN,Tires,,2025-05-30,2025-06-20 15:13:01.237253,Tire
77516,JAMP-RISPERIDONE: may contain foreign matter particles,Drugs and health products,JAMP-RISPERIDONE,Product safety,,2025-05-30,2025-06-20 15:13:01.237253,Drugs
77461,InkBird Wifi Radon Detector model RD-2  recalled due to inaccurate radon detection ,Consumer product safety,InkBird Wifi Radon Detector model RD-2,Chemical hazard,,2025-05-30,2025-06-20 15:13:01.237253,Electronics
77444,Various Life Basis brand Radon Detectors recalled due to inaccurate radon detection,Consumer product safety,Various Life Basis brand Radon Detectors,Chemical hazard,,2025-05-30,2025-06-20 15:13:01.237253,Electronics
76817,Transport Canada Recall - 2024778 - FORD,TC,Light Truck & Van recalled by FORD,Suspension,,2025-05-29,2025-06-20 15:13:01.237253,Light Truck & Van
77282,My First Snowman’s top hat recalled due to choking hazard ,Consumer product safety,Step2 My First Snowman,Choking hazard,,2025-05-29,2025-06-20 15:13:01.237253,Toys and games
77519,Transport Canada Recall - 2025267 - MANAC,TC,Heavy Trailer recalled by MANAC,Accessories,,2025-05-29,2025-06-20 15:13:01.237253,Heavy Trailer
77520,Transport Canada Recall - 2025277 - FORD,TC,SUV recalled by FORD,Seats And Restraints,,2025-05-29,2025-06-20 15:13:01.237253,SUV
77521,Transport Canada Recall - 2025278 - FORD,TC,Chassis Cab recalled by FORD,Lights And Instruments,Chassis Cab,2025-05-29,2025-06-20 15:13:01.237253,Light Truck & Van
77522,Transport Canada Recall - 2025283 - FORD,TC,SUV recalled by FORD,Engine,Light Truck & Van,2025-05-29,2025-06-20 15:13:01.237253,SUV
77523,Transport Canada Recall - 2025285 - FORD,TC,SUV recalled by FORD,Other,,2025-05-29,2025-06-20 15:13:01.237253,SUV
77524,Transport Canada Recall - 2025286 - FORD,TC,Light Truck & Van recalled by FORD,Suspension,,2025-05-29,2025-06-20 15:13:01.237253,Light Truck & Van
77513,BD Insyte™ AutoGuard™ Shielded IV Catheters,Medical devices,BD Insyte™ AutoGuard™ Shielded IV Catheters,Performance,,2025-05-28,2025-06-20 15:13:01.237253,General hospital and personal use
77515,"Ocean Mama Seafood brand Easy Peel, Deveined, Shell On Raw Shrimp 26/30 recalled due to 3-amino-2-oxazolidinone",CFIA,"Easy Peel, Deveined, Shell On Raw Shrimp 26/30",Chemical,,2025-05-28,2025-06-20 15:13:01.237253,Fish and seafood
77514,Soltive Laser Fibers,Medical devices,Soltive Laser Fibers,Performance,,2025-05-28,2025-06-20 15:13:01.237253,General hospital and personal use
77512,Exka Inc. recalls one lot of Terroir – Royal Gorilla cannabis extract,Controlled substances and cannabis,"Terroir – Royal Gorilla cannabis extract, lot 0002091",Labelling and packaging,,2025-05-28,2025-06-20 15:13:01.237253,Cannabis
77510,JAMP-ASA 81MG EC: may contain foreign tablets containing acetaminophen and methocarbamol,Drugs and health products,JAMP-ASA 81MG EC,Product safety,,2025-05-28,2025-06-20 15:13:01.237253,Drugs
75765,Transport Canada Recall - 2024359 - GENERAL MOTORS,TC,Car recalled by GENERAL MOTORS,Lights And Instruments,SUV,2025-05-28,2025-06-20 15:13:01.237253,Car
73796,Transport Canada Recall - 2023309 - FORD,TC,Light Truck & Van recalled by FORD,Engine,SUV,2025-05-27,2025-06-20 15:13:01.237253,Light Truck & Van
77235,Transport Canada Recall - 2025164 - FORD,TC,SUV recalled by FORD,Seats And Restraints,,2025-05-27,2025-06-20 15:13:01.237253,SUV
77495,Ezetimibe: One lot recalled as some bottles may contain perindopril 4 mg tablets.,Drugs and health products, Sivem ezetimibe 10 mg tablets,Product safety,,2025-05-27,2025-06-20 15:13:01.237253,Drugs
77504,bblüv Gröw Convertible Baby Highchair recalled due to entrapment hazard ,Consumer product safety,bblüv Gröw Convertible Baby High chair,Entrapment hazard,,2025-05-27,2025-06-20 15:13:01.237253,Household items
77543,Olymel brand Cooked diced chicken 1/2 in recalled due to pieces of bone,CFIA, Cooked Diced Chicken 1/2 in,Extraneous Material,,2025-05-27,2025-06-20 15:13:01.237253,Processed
64777,Transport Canada Recall - 2022307 - FORD,TC,Chassis Cab recalled by FORD,Lights And Instruments,Light Truck & Van,2025-05-26,2025-06-20 15:13:01.237253,Chassis Cab
72574,Transport Canada Recall - 2022743 - FORD,TC,SUV recalled by FORD,Seats And Restraints,,2025-05-26,2025-06-20 15:13:01.237253,SUV
74960,Transport Canada Recall - 2024024 - POLARIS,TC,Snowmobile recalled by POLARIS,Powertrain,,2025-05-26,2025-06-20 15:13:01.237253,Snowmobile
77493,Beacon Tip Torcon NB Advantage Catheter,Medical devices,Beacon Tip Torcon NB Advantage Catheter,Performance,,2025-05-26,2025-06-20 15:13:01.237253,Cardiovascular
77508,Transport Canada Recall - 2025271 - POLARIS,TC,Snowmobile recalled by POLARIS,Powertrain,,2025-05-26,2025-06-20 15:13:01.237253,Snowmobile
77509,Transport Canada Recall - 2025274 - LAND ROVER,TC,SUV recalled by LAND ROVER,Suspension,,2025-05-26,2025-06-20 15:13:01.237253,SUV
77502,Transport Canada Recall - 2025259 - FORD,TC,SUV recalled by FORD,Brakes,,2025-05-23,2025-06-20 15:13:01.237253,SUV
77501,Transport Canada Recall - 2025258 - FORD,TC,Light Truck & Van recalled by FORD,Steering,,2025-05-23,2025-06-20 15:13:01.237253,Light Truck & Van
77499,Transport Canada Recall - 2025254 - FORD,TC,SUV recalled by FORD,Lights And Instruments,,2025-05-23,2025-06-20 15:13:01.237253,SUV
77503,Transport Canada Recall - 2025273 - FIAT CHRYSLER AUTOMOBILES,TC,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Visual System,,2025-05-23,2025-06-20 15:13:01.237253,Light Truck & Van
77500,Transport Canada Recall - 2025256 - FORD,TC,Light Truck & Van recalled by FORD,Seats And Restraints,,2025-05-23,2025-06-20 15:13:01.237253,Light Truck & Van
77479,Wild Wonders Wooden Rattle recalled due to choking hazard,Consumer product safety,Wild Wonders Wooden Rattle,Choking hazard,,2025-05-23,2025-06-20 15:13:01.237253,Toys and games
77498,Transport Canada Recall - 2025251 - ALTEC INDUSTRIES,TC,Equipment recalled by ALTEC INDUSTRIES,Accessories,,2025-05-23,2025-06-20 15:13:01.237253,Equipment
77496,Sivem ezetimibe 10 mg tablets: One lot recalled as some bottles may contain perindopril 4 mg tablets,Communications and Public Affairs Branch,Sivem ezetimibe 10 mg tablets,Product safety,,2025-05-23,2025-06-20 15:13:01.237253,Drugs
77492,BD Texium™ Components,Medical devices,BD Texium™ Components,Performance,,2025-05-23,2025-06-20 15:13:01.237253,General hospital and personal use
77489,Health Canada warns that ZGRMBO Tabletop fire box sold on Amazon.ca may pose a flame jetting and fire hazard ,Consumer product safety,ZGRMBO Tabletop fire box,Fire hazard,,2025-05-23,2025-06-20 15:13:01.237253,Household items
77497,Transport Canada Recall - 2025249 - ALTEC INDUSTRIES,TC,Equipment recalled by ALTEC INDUSTRIES,Accessories,,2025-05-23,2025-06-20 15:13:01.237253,Equipment
77487,EVIS EXERA III Duodenovideoscope,Medical devices,EVIS EXERA III Duodenovideoscope,Labelling and packaging,,2025-05-22,2025-06-20 15:13:01.237253,Gastroenterology and urology
77491,Newport HT70 Ventilator Plus,Medical devices,Newport HT70 Ventilator Plus,Performance,,2025-05-22,2025-06-20 15:13:01.237253,Anaesthesiology
